,,,sentence_id,AICAR|ALT-801|AMG 10_1,AICAR|ALT-801|AMG 10_2,sentence_text,title,sentence_text,,,
,sy,plus,821,gemcitabine,fluorouracil,To evaluate long-term survival outcomes and late toxicities of the sequential chemotherapy regimen of gemcitabine plus cisplatin ( GP ) compared with cisplatin plus fluorouracil ( PF ) in locoregionally advanced nasopharyngeal carcinoma ( NPC ) .,Comparing Long-Term Survival and Late Toxicities of Different Sequential Chemotherapy Regimens with Intensity-Modulated Radiotherapy in Locoregionally Advanced Nasopharyngeal Carcinoma.,To evaluate long-term survival outcomes and late toxicities of the sequential chemotherapy regimen of gemcitabine plus cisplatin ( GP ) compared with cisplatin plus fluorouracil ( PF ) in locoregionally advanced nasopharyngeal carcinoma ( NPC ) .,,,
,NE,effect,3401,pancreatic polypeptide,somatostatin,Vagal efferent nerve-dependent inhibitory action of pancreatic polypeptide and peptide YY in conscious rats : comparison with somatostatin .,Vagal efferent nerve-dependent inhibitory action of pancreatic polypeptide and peptide YY in conscious rats: comparison with somatostatin.,Vagal efferent nerve-dependent inhibitory action of pancreatic polypeptide and peptide YY in conscious rats : comparison with somatostatin .,,,
,NE,"efficacy, effective",7427,pentoxifylline,buflomedil,In comparative studies buflomedil 600 mg/day orally was shown to be significantly superior to placebo and comparable in efficacy to pentoxifylline ( oxpentifylline ) and naftidrofuryl .,"Buflomedil. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in peripheral and cerebral vascular diseases.",In comparative studies buflomedil 600 mg/day orally was shown to be significantly superior to placebo and comparable in efficacy to pentoxifylline ( oxpentifylline ) and naftidrofuryl .,,,
,NE,"effective, effect",7428,buflomedil,cinnarizine,"In patients with symptoms presumed to be due to cerebrovascular insufficiencies and elderly patients with senile dementia , buflomedil 450 to 600 mg/day alleviated symptoms associated with impairment of cognitive and psychometric function and was significantly superior to placebo and slightly more effective than drugs such as cinnarizine , flunarizine and co-dergocrine mesylate .","Buflomedil. A review of its pharmacodynamic and pharmacokinetic properties, and therapeutic efficacy in peripheral and cerebral vascular diseases.","In patients with symptoms presumed to be due to cerebrovascular insufficiencies and elderly patients with senile dementia , buflomedil 450 to 600 mg/day alleviated symptoms associated with impairment of cognitive and psychometric function and was significantly superior to placebo and slightly more effective than drugs such as cinnarizine , flunarizine and co-dergocrine mesylate .",,,
,NE,"effective, effect",8059,haloperidol,Clozapine,Clozapine but not haloperidol suppresses the changes in the levels of neuropeptides in MK-801-treated rat brain regions .,Clozapine but not haloperidol suppresses the changes in the levels of neuropeptides in MK-801-treated rat brain regions.,Clozapine but not haloperidol suppresses the changes in the levels of neuropeptides in MK-801-treated rat brain regions .,,,
,NE,combined,8547,nifedipine,nicardipine,"Based on the findings of this review the following recommendations can be made with regard to tocolysis with calcium channel blockers : firstly , calcium channel blockers should not be combined with intravenous beta-agonists ; secondly , intravenous nicardipine or high oral doses of nifedipine should not be used in cases where the mother is cardiovascular compromised or in cases of multiple gestation ; finally , blood pressure should be monitored and cardiotocography recorded during the administration of immediate release tablets and patients should be advised to avoid chewing them .",Calcium channel blockers for tocolysis: a review of their role and safety following reports of serious adverse events.,"Based on the findings of this review the following recommendations can be made with regard to tocolysis with calcium channel blockers : firstly , calcium channel blockers should not be combined with intravenous beta-agonists ; secondly , intravenous nicardipine or high oral doses of nifedipine should not be used in cases where the mother is cardiovascular compromised or in cases of multiple gestation ; finally , blood pressure should be monitored and cardiotocography recorded during the administration of immediate release tablets and patients should be advised to avoid chewing them .",,,
,NE,effect,8929,haloperidol,sulpiride,"There was no apparent effect of icv CCK-8 on the enhancement of PRL release by haloperidol ( 0.2 mg/kg , iv ) , sulpiride ( 0.1 mg/kg , iv ) , domperidone ( 0.1 mg/kg , iv ) , or RO22 - 1319 ( 0.1 mg/kg , iv ) .",Intracerebroventricular injection of cholecystokinin octapeptide elevates plasma prolactin levels through stimulation of vasoactive intestinal polypeptide.,"There was no apparent effect of icv CCK-8 on the enhancement of PRL release by haloperidol ( 0.2 mg/kg , iv ) , sulpiride ( 0.1 mg/kg , iv ) , domperidone ( 0.1 mg/kg , iv ) , or RO22 - 1319 ( 0.1 mg/kg , iv ) .",,,
,NE,"['additive', 'greater-than-additive', 'combined', 'combination']",9266,sorafenib,lenvatinib,"The multi-kinase inhibitor lenvatinib , for the treatment of liver cancer , has fewer negative sequelae than sorafenib .",The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,"The multi-kinase inhibitor lenvatinib , for the treatment of liver cancer , has fewer negative sequelae than sorafenib .",,,
,sy,"['additive', 'greater-than-additive', 'combined', 'combination'], interacted",9267,entinostat,lenvatinib,We determined the mechanisms by which lenvatinib interacted with the HDAC inhibitor entinostat to kill hepatoma cells .,The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,We determined the mechanisms by which lenvatinib interacted with the HDAC inhibitor entinostat to kill hepatoma cells .,,,
,sy,"['additive', 'greater-than-additive', 'combined', 'combination'], interacted",9268,Lenvatinib,entinostat,Lenvatinib and entinostat interacted in an additive to greater-than-additive fashion to kill liver cancer cells .,The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,Lenvatinib and entinostat interacted in an additive to greater-than-additive fashion to kill liver cancer cells .,,,
,sy,"['additive', 'greater-than-additive', 'combined', 'combination']",9275,lenvatinib,entinostat,Knock down of HDACs1/2/3 prevented the lenvatinib and entinostat combination from regulating PD-L1 and MHCA expression .,The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,Knock down of HDACs1/2/3 prevented the lenvatinib and entinostat combination from regulating PD-L1 and MHCA expression .,,,
,sy,"['additive', 'greater-than-additive', 'combined', 'combination'], interact to kill",9276,lenvatinib,entinostat,"Collectively , our data demonstrate that lenvatinib and entinostat interact to kill liver cancer cells via ROS-dependent activation of ATM and inactivation of eIF2α , resulting in greater levels of toxic autophagosome formation and reduced expression of protective mitochondrial proteins .",The multi-kinase inhibitor lenvatinib interacts with the HDAC inhibitor entinostat to kill liver cancer cells.,"Collectively , our data demonstrate that lenvatinib and entinostat interact to kill liver cancer cells via ROS-dependent activation of ATM and inactivation of eIF2α , resulting in greater levels of toxic autophagosome formation and reduced expression of protective mitochondrial proteins .",,,
,NE,"effective, effect",9694,candesartan,amlodipine,The present results show that candesartan and amlodipine are equally effective in Japanese elderly patients with high-risk hypertension .,The optimal target blood pressure for antihypertensive treatment in Japanese elderly patients with high-risk hypertension: a subanalysis of the Candesartan Antihypertensive Survival Evaluation in Japan (CASE-J) trial.,The present results show that candesartan and amlodipine are equally effective in Japanese elderly patients with high-risk hypertension .,,,
,NE,"effective, effect",9857,dabigatran,rivaroxaban,"Clinical trials have shown that direct oral anticoagulants (DOACs)-including dabigatran , rivaroxaban , apixaban , and edoxaban-are at least as effective and safe as warfarin for the risk of stroke/systemic embolism ( SE ) and major bleeding ( MB ) in patients with atrial fibrillation ( AF ) .",A Real-World Observational Study of Hospitalization and Health Care Costs Among Nonvalvular Atrial Fibrillation Patients Prescribed Oral Anticoagulants in the U.S. Medicare Population.,"Clinical trials have shown that direct oral anticoagulants (DOACs)-including dabigatran , rivaroxaban , apixaban , and edoxaban-are at least as effective and safe as warfarin for the risk of stroke/systemic embolism ( SE ) and major bleeding ( MB ) in patients with atrial fibrillation ( AF ) .",,,
,NE,"effective, effect",10057,sildenafil,tadalafil,"The availability of three ( sildenafil citrate , tadalafil , and vardenafil ) well tolerated and effective oral PDE5 inhibitors gives treatment options for men with ED .","Patient preference and satisfaction in erectile dysfunction therapy: a comparison of the three phosphodiesterase-5 inhibitors sildenafil, vardenafil and tadalafil.","The availability of three ( sildenafil citrate , tadalafil , and vardenafil ) well tolerated and effective oral PDE5 inhibitors gives treatment options for men with ED .",,,
,NE,"effective, effect",10383,terfenadine,fexofenadine,Comparison of electropharmacological effects between terfenadine and its active derivative fexofenadine using a cross-over study in halothane-anesthetized dogs to analyze variability of pharmacodynamic and pharmacokinetic profiles of terfenadine and torsadogenic risk of fexofenadine .,Comparison of electropharmacological effects between terfenadine and its active derivative fexofenadine using a cross-over study in halothane-anesthetized dogs to analyze variability of pharmacodynamic and pharmacokinetic profiles of terfenadine and torsadogenic risk of fexofenadine.,Comparison of electropharmacological effects between terfenadine and its active derivative fexofenadine using a cross-over study in halothane-anesthetized dogs to analyze variability of pharmacodynamic and pharmacokinetic profiles of terfenadine and torsadogenic risk of fexofenadine .,,,
,un,"Efficacy, plus, effect",11402,melphalan,prednisone,"Trials comparing efficacy of melphalan prednisone ( MP ) with MP plus thalidomide in transplant ineligible , elderly patients with multiple myeloma have provided conflicting evidence .","Melphalan and prednisone versus melphalan, prednisone and thalidomide for elderly and/or transplant ineligible patients with multiple myeloma: a meta-analysis.","Trials comparing efficacy of melphalan prednisone ( MP ) with MP plus thalidomide in transplant ineligible , elderly patients with multiple myeloma have provided conflicting evidence .",,,
,un,"Efficacy, plus, effect",11404,melphalan,prednisone,"We performed a meta-analysis comparing efficacy of melphalan , prednisone and thalidomide ( MPT ) and MP by pooling results on RR , PFS and OS reported in all the identified randomized controlled trials ( RCTs ) under a random effects model .","Melphalan and prednisone versus melphalan, prednisone and thalidomide for elderly and/or transplant ineligible patients with multiple myeloma: a meta-analysis.","We performed a meta-analysis comparing efficacy of melphalan , prednisone and thalidomide ( MPT ) and MP by pooling results on RR , PFS and OS reported in all the identified randomized controlled trials ( RCTs ) under a random effects model .",,,
,ant,"Efficacy, effect",11767,carbamazepine,aminophylline,Inhibition of anticonvulsant action of carbamazepine by aminophylline and caffeine in rats .,Inhibition of anticonvulsant action of carbamazepine by aminophylline and caffeine in rats.,Inhibition of anticonvulsant action of carbamazepine by aminophylline and caffeine in rats .,,,
,NE,effect,11932,nepafenac,diclofenac,"Comparison of effect of nepafenac and diclofenac ophthalmic solutions on cornea , tear film , and ocular surface after cataract surgery : the results of a randomized trial .","Comparison of effect of nepafenac and diclofenac ophthalmic solutions on cornea, tear film, and ocular surface after cataract surgery: the results of a randomized trial.","Comparison of effect of nepafenac and diclofenac ophthalmic solutions on cornea , tear film , and ocular surface after cataract surgery : the results of a randomized trial .",,,
,NE,Efficacy,14565,adefovir,entecavir,"Ten male transplant patients with chronic HBV infection ( eight kidney- and two liver-transplant patients ) , who have become adefovir ( n=9 ) or lamivudine-resistant ( n=1 ) were given entecavir at 0.5 to 1 mg/d .",Entecavir therapy for adefovir-resistant hepatitis B virus infection in kidney and liver allograft recipients.,"Ten male transplant patients with chronic HBV infection ( eight kidney- and two liver-transplant patients ) , who have become adefovir ( n=9 ) or lamivudine-resistant ( n=1 ) were given entecavir at 0.5 to 1 mg/d .",,,
,sy,"['effective', 'effectively', 'effect', 'combined', 'combination']",14776,ceftazidime,imipenem,"We evaluated in vitro the dispersive activity of D-amino acids ( D-AAs ) on biofilms from clinical wound isolates of Staphylococcus aureus and Pseudomonas aeruginosa ; moreover , we determined whether combinations of D-AAs and antibiotics ( clindamycin , cefazolin , oxacillin , rifampin , and vancomycin for S. aureus and amikacin , colistin , ciprofloxacin , imipenem , and ceftazidime for P. aeruginosa ) enhance activity against biofilms .",2014,,Antimicrobial agents and chemotherapy,58,8
,sy,"['effective', 'effectively', 'effect', 'combined', 'combination']",14779,colistin,ciprofloxacin,"The addition of D-AAs was also observed to enhance the activity of colistin and ciprofloxacin against biofilms of P. aeruginosa , reducing the observed MBIC and the number of viable bacteria by > 2 logs and 1 log at 64 and 32 μg/ml in contrast to antibiotics alone .",2014,,Antimicrobial agents and chemotherapy,58,8
,NE,Efficacy,15835,entecavir,lamivudine,"In this phase 3 , double-blind trial , we randomly assigned 715 patients with hepatitis B e antigen (HBeAg)-positive chronic hepatitis B who had not previously received a nucleoside analogue to receive either 0.5 mg of entecavir or 100 mg of lamivudine once daily for a minimum of 52 weeks .",2006,,The New England journal of medicine,354,10
,sy,"synergetic, effect",16053,carbamazepine,ciprofloxacin,"The synergetic effects of benzene-1,4-dicarboxylic acid ( BDC ) linker structure and the metal cluster of MOFs on adsorption mechanisms of carbamazepine , ciprofloxacin and mefenamic acid were investigated in single and mixed solutions .",2020,,The Science of the total environment,720,
,NE,"Efficacy, effect",16128,Vincristine,Cyclophosphamide,"In stage I regional radiotherapy was given followed by randomization for maintenance chemotherapy with Vincristine , Cyclophosphamide and Prednisone .",1987,,European journal of cancer & clinical oncology,23,3
,NE,"Efficacy, effect",16133,Cyclophosphamide,Prednisone,"Patients in stage III and IV were treated with 8 courses of chemotherapy with Adriamycin , VM26 , Cyclophosphamide and Prednisone , given in two different time schedules .",1987,,European journal of cancer & clinical oncology,23,3
,NE,"effective, effect",16911,chloroquine,chlorpromazine,"We identified four compounds ( chloroquine , chlorpromazine , loperamide , and lopinavir ) inhibiting MERS-CoV replication in the low-micromolar range ( 50 % effective concentrations [ EC(50)s ] , 3 to 8 μM ) .",2014,,Antimicrobial agents and chemotherapy,58,8
,un,"synergism, effective",17170,norfloxacin,enrofloxacin,"The majority of the isolated strains displayed remarkable sensitivity to norfloxacin and enrofloxacin ; furthermore , the retrieved E. coli strains exhibited multidrug-resistance to gentamicin , erythromycin , streptomycin and trimethoprim-sulphamethoxazole , in addition , the isolated S. aureus and P. aeruginosa strains showed multidrug-resistance to amoxicillin , ampicillin and tetracycline .",2020,,AMB Express,10,1
,sy,combination,18238,sirolimus,tacrolimus,"Results at 1 year of a pilot randomized trial with 87 kidney graft recipients , comparing the maintenance treatment with sirolimus , tacrolimus and steroids ( group I ) versus tacrolimus withdrawal since the third month onward , followed by maintenance with SRL and steroids ( group II ) have shown that early elimination of tacrolimus may result in improved renal function and blood pressure control .",2008,,Transplantation,86,4
,sy,combination,18244,Tacrolimus,sirolimus,"Tacrolimus withdrawal from a combination of sirolimus and tacrolimus , in selected patients , may be observed at 2 years by an improvement in renal function and blood pressure without a higher incidence of proteinuria .",2008,,Transplantation,86,4
,sy,"effective, combination",20375,medroxyprogesterone,lopinavir,"We conducted an open-label , steady-state pharmacokinetic ( PK ) study of drug-drug interactions between depot medroxyprogesterone acetate ( DMPA ) and twice-daily lopinavir ( LPV ) plus low-dose ritonavir ( RTV ) ( LPV/r ) among 24 HIV-infected women and compared the results to those for HIV-infected women receiving DMPA while on no antiretroviral therapy or on nucleosides only ( n = 14 subjects from the control arm of AIDS Clinical Trials Group [ ACTG ] study 5093 ) .",2015,,Antimicrobial agents and chemotherapy,59,4
,NE,effect,20647,cefepime,meropenem,We have reported significantly higher convulsion prevalence in patients treated with cefepime than in those treated with meropenem .,2014,,Antimicrobial agents and chemotherapy,58,8
,NE,effect,20649,cefepime,meropenem,"Here , we compared the convulsive liability of cefepime and meropenem administered intravenously in normal and corneal kindled mice with low seizure thresholds .",2014,,Antimicrobial agents and chemotherapy,58,8
,NE,effect,20652,cefepime,meropenem,Intravenous injection of cefepime and meropenem at 250 or 500 mg/kg of body weight had no effect on PTZ-induced convulsions in normal mice .,2014,,Antimicrobial agents and chemotherapy,58,8
,NE,effect,20655,cefepime,meropenem,"In corneal kindled mice following cefepime injection , mean seizure stage was significantly higher than that following meropenem injection .",2014,,Antimicrobial agents and chemotherapy,58,8
,NE,effect,20656,cefepime,meropenem,The convulsive liability of cefepime is significantly higher than that of meropenem in normal and corneal kindled mice .,2014,,Antimicrobial agents and chemotherapy,58,8
,sy,"combination, benefit",20685,ramipril,felodipine,Fixed combination of ramipril and felodipine is in agreement with guidelines recomendations with proven benefit on cardiovascular protection and non-diabetic kidney disease in patients with essential hypertension .,,,Lijecnicki vjesnik,132,3-4
,sy,combination. Plus,24910,doxycycline,azithromycin,Maintenance therapy of melioidosis with ciprofloxacin plus azithromycin compared with cotrimoxazole plus doxycycline .,,,,,
,sy,combination. Plus,24918,doxycycline,azithromycin,"This is a report of a randomized , open , labeled study of the maintenance treatment of melioidosis using a combination of ciprofloxacin and azithromycin ( Regimen A ) for 12 weeks versus a combination of cotrimoxazole and doxycycline ( Regimen B ) for 20 weeks .",,,,,
,sy,"combination, synergistic",25716,chloramphenicol,ampicillin,"Synergy , determined by isobolograms constructed from the minimal inhibitory concentrations of combinations of ampicillin and chloramphenicol , was observed against six of 13 ampicillin-susceptible Haemophilus influenzae type b isolates and against five of eight ampicillin-resistant strains by using a small inoculum of 10(4 ) colony forming units ( CFU ) per milliliter .",,,,,
,sy,"combination, synergistic",25722,chloramphenicol,ampicillin,These data support the recommendation that ampicillin and chloramphenicol both be used as initial therapy for patients with suspected bacterial meningitis .,,,,,
,sy,"combination, plus",28235,bismuth,clarithromycin,"A total of 647 patients were collected and 330 were administered either standard triple therapy ( ( amoxicillin , clarithromycin , a proton pump inhibitor ) or standard triple therapy plus bismuth tripotassium dicitrate .",,,,,
,sy,combination,28946,quinine,methamphetamine,Enhancement of behavioral effect and acute toxicity of methamphetamine by quinine in rats .,,,,,
,NE,beneficial,29088,vortioxetine,vilazodone,"We will include double-blind randomised controlled trials comparing any of the following antidepressants , which we included in our previous NMA of the acute treatment for major depression , with placebo or with another active drug for long-term treatment of major depression : agomelatine , amitriptyline , bupropion , citalopram , clomipramine , desvenlafaxine , duloxetine , escitalopram , fluoxetine , fluvoxamine , levomilnacipran , milnacipran , mirtazapine , nefazodone , paroxetine , reboxetine , sertraline , trazodone , venlafaxine , vilazodone and vortioxetine .",,,,,
,NE,plus,30178,carvedilol,losartan,Comparison of losartan and carvedilol on attenuating inflammatory and oxidative response and preserving energy transcription factors and left ventricular function in dilated cardiomyopathy rats .,,,,,
,NE,"combined, effective",31287,minocycline,doxycycline,"Based on our previous data showing that doxycycline and minocycline work as the positive allosteric modulator ( PAM ) of PAC1-R , we used computer molecular docking and isothermal titration calorimetry assay to further determine the bindings of doxycycline/minocycline 's derivatives including tetracycline/tigecycline with the N-terminal extracellular domain of PAC1-R ( PAC1-EC1 ) .",,,,,
,ant,combination,31681,quinine,methamphetamine,The behavioral effect and acute toxicity of methamphetamine were tested alone and in combination with quinine in rats .,,,,,
,ant,combination,31682,methamphetamine,Quinine,Quinine prolonged and increased the effect of methamphetamine .,,,,,
,ant,combination,31683,quinine,methamphetamine,The enhancement of methamphetamine-induced stereotyped behavior was very marked when quinine was given prior to or simultaneously with methamphetamine .,,,,,
,ant,combination,31685,methamphetamine,quinine,The mortality of methamphetamine was also potentiated markedly by quinine .,,,,,
,ant,combination,31686,quinine,methamphetamine,The enhancement of the behavioral effect and the toxicity of methamphetamine may be due to inhibition of the metabolism of methamphetamine by quinine .,,,,,
,NE,"['synergy', 'effect', 'combination']",33919,clarithromycin,netilmicin,"The minimal inhibitory concentrations ( MICs ) , minimal biofilm inhibitory concentrations ( MBICs ) , and antibiotic synergy by calculating the fractional inhibitory concentration ( FIC ) index were determined for the following antibiotics : ceftazidime , cefepime , piperacillin/tazobactam , imipenem , meropenem , levofloxacin , ciprofloxacin , gentamicin , amikacin , tobramycin , netilmicin and clarithromycin .",,,,,
,NE,"['synergy', 'effect', 'combination']",33921,meropenem,imipenem,"Cefepime , imipenem and meropenem had the lowest MIC 90 values .",,,,,
,NE,"['synergy', 'effect', 'combination']",33923,clarithromycin,meropenem,"Imipenem , meropenem , piperacillin/tazobactam and clarithromycin had the lowest MBIC 90 values .",,,,,
,NE,"['synergy', 'effect', 'combination']",33924,netilmicin,amikacin,"For biofilm-forming P. aeruginosa strains 2-fold to 128-fold higher MBIC values than MIC values were obtained for ceftazidime , cefepime , imipenem , amikacin and netilmicin .",,,,,
,NE,"['synergy', 'effect', 'combination']",33925,clarithromycin,levofloxacin,"The MBIC was 2-fold to 512-fold lower then the MIC values in the case of piperacillin/tazobactam , ciprofloxacin , levofloxacin and clarithromycin .",,,,,
,sy,"['synergy', 'effect', 'combination']",33926,clarithromycin,ceftazidime,"Synergy was generally demonstrated for clarithromycin in combination with aminoglycosides , fluoroquinolones or ceftazidime .",,,,,
,ant,"['synergy', 'effect', 'combination']",33927,clarithromycin,cefepime,"However , surprisingly it was found that combinations of clarithromycin with carbapenems or cefepime led to an antagonistic interaction : combination of clarithromycin with imipenem , meropenem or ertapenem showed antagonism in 37.5 % , 50 % and 62.5 % of the strains tested whereas its combination with cefepime expressed antagonism in 75 % of the strains , respectively .",,,,,
,un,plus,34573,leuprolide,bicalutamide,"Seventeen men with localized adenocarcinoma of the prostate with cT2c-cT4 or Gleason 8 - 10 or prostate-specific antigen > 20 ng/mL received initial androgen deprivation ( leuprolide 22.5 mg every 12 weeks plus oral bicalutamide 50 mg daily ) for 4 - 8 weeks before oral sunitinib 12.5 , 25 , or 37.5 mg daily for 4 weeks as lead-in , then concurrently with and 4 weeks after XRT ( 75.6 Gy in 42 fractions to prostate and seminal vesicles ) .",,,,,
,un,plus,36269,ramelteon,suvorexant,"In this retrospective cohort study , sleep disturbances , and delirium were investigated in acute stroke patients treated in April 2013-March 2017 who were prescribed ramelteon plus either an alpha-aminobutyric acid receptor ( GABAR ) agonist or a selective dual orexin receptor antagonist ( suvorexant ) .",,,,,
,,,37634,rufinamide,topiramate,"Valproate has been the first-line treatment for many years , but newer antiepileptic drugs ; such as lamotrigine , topiramate and rufinamide , have shown efficacy as add-on therapy .",,,,,
,,,38178,YM155,dasatinib,"ALL samples exhibited significant sensitivity to YM155 , and an additive response was observed with dasatinib in the setting of Ph(+)ALL .",,,,,
,,,39897,ifosfamide,paclitaxel,"Patients ( n = 219 ) were randomly assigned to ifosfamide 5 g/m(2 ) during 24 hours plus cisplatin 75 mg/m(2 ) , or paclitaxel 175 mg/m(2 ) plus ifosfamide 5 g/m(2 ) during 24 hours and cisplatin 75 mg/m(2 ) every 3 weeks for three courses .",,,,,
,,,40215,rosiglitazone,sirolimus,The combination of sirolimus and rosiglitazone is renoprotective with respect to diabetic nephropathy .,,,,,
,,,41170,clonidine,Propranolol,Propranolol and clonidine were administered by daily intraperitoneal injection until sacrifice on day seven .,,,,,
,,,42468,Topiramate,Phentermine,Cardiovascular Safety During and After Use of Phentermine and Topiramate .,,,,,
,,,42663,cyproterone acetate,methyltestosterone,"Two echinoderm species , the sea urchin Paracentrotus lividus and the feather star Antedon mediterranea , were exposed for 28 days to several EDCs : three putative androgenic compounds , triphenyltin ( TPT ) , fenarimol ( FEN ) , methyltestosterone ( MET ) , and two putative antiandrogenic compounds , p , p'-DDE ( DDE ) and cyproterone acetate ( CPA ) .",,,,,
,,,44405,captopril,levamisole,"This applies not only to penicillamine and disodium aurothiomalate but also to thiola , 5- thiopyridoxine , levamisole and captopril .",,,,,
,,,44534,curcumin,hydroxyurea,"Moreover , the anticancer effects of two drugs ( hydroxyurea and cisplatin ) and the potential anticancer compound ( curcumin ) on HepG2 cells are demonstrated by simply measuring decreases in spheroid sizes .",,,,,
,,,44568,simvastatin,ezetimibe,"After dietary stabilization , a 2- to 12-week washout period , and a 4-week , single-blind , placebo lead-in period , patients with baseline low-density lipoprotein cholesterol ( LDL-C ) > or = 145 mg/dl to < or = 250 mg/dl and triglycerides ( TG ) < or = 350 mg/dl were randomized to one of the following 10 groups administered daily for 12 consecutive weeks : ezetimibe 10 mg ; simvastatin 10 , 20 , 40 , or 80 mg ; ezetimibe 10 mg plus simvastatin 10 , 20 , 40 , or 80 mg ; or placebo .",,,,,
,,,44569,ezetimibe,simvastatin,The primary efficacy variable was percentage reduction from baseline to end point in direct LDL-C for the pooled ezetimibe plus simvastatin groups versus pooled simvastatin groups .,,,,,
